1;01. Jan;06. Dez
2;01. Jan;< 6
3;01. Jan;>=12 (NORMAL)
4;01. Feb;4000 - 7000 (NORMAL)
5;01. Feb;> 7000 (HOCH)
6;01. Feb;< 4000 (NIEDRIG)
7;01. Mai;HOCH
8;01. Mai;NORMAL
9;01. Mai;NIEDRIG
10;01. Jun;POSITIV
11;01. Jun;NEGATIV
12;02. Jan;Ein RH+
13;02. Jan;Ein RH-
14;02. Jan;B RH+
15;02. Jan;B RH-
16;02. Jan;AB RH+
17;02. Jan;AB RH-
18;02. Jan;Oh RH+
19;02. Jan;O RH-
20;02. Feb;NEGATIV
21;02. Feb;POSITIV
22;03. Jan;NEGATIV
23;03. Jan;WENIGER
24;03. Jan;+
25;03. Jan;++
26;03. Jan;+++
27;03. Jan;++++
28;03. Feb;POSITIV
29;03. Feb;NEGATIV
30;03.02.2001;NEGATIV
31;03.02.2001;POSITIV
32;03.02.2002;POSITIV
33;03.02.2002;NEGATIV
34;03.02.2003;NEGATIV
35;03.02.2003;POSITIV
36;03.02.2004;NEGATIV
37;03.02.2004;POSITIV
38;03. Mrz;A.. LUMBRICOIDES
39;03. Mrz;E.COLI-ZYSTEN
40;03. Mrz;E. HISTOLYTIK
41;03. Mrz;E. VERMICULARIS
42;03. Mrz;G. LAMBLIA
43;03. Mrz;T. HOMINIS
44;03. Mrz;HAKENWURM
45;03. Mrz;S. mansoni
46;03. Mrz;S. STERCORALIS
47;03. Mrz;TAENIA SAGINATA
48;03. Mrz;TAENIA SOLIUM
49;03. Mrz;TRICHURISI TRICHURA
50;03. Mrz;HYMENOLEPIS NANA
51;03. Apr;POSITIV
52;03. Apr;NEGATIV
53;03. Mai;POSITIV
54;03. Mai;NEGATIV
55;03. Jun;POSITIV
56;03. Jun;NEGATIV
57;04. Jan;POSITIV
58;04. Jan;NEGATIV
59;04. Feb;POSITIV
60;04. Feb;NEGATIV
61;04. Mrz;POSITIV
62;04. Mrz;NEGATIV
63;04. Apr;POSITIV
64;04. Apr;NEGATIV
65;04. Mai;POSITIV
66;04. Mai;NEGATIV
67;04. Jun;NORMAL
68;05. Jan;POSITIV
69;05. Jan;NEGATIV
70;05. Feb;NEGATIV
71;05. Feb;PNEUMOKOKKEN
72;05. Feb;Meningokokken
73;05. Feb;HEMOPHILLUS INFL.
74;05. Feb;Kryptokokken
75;05. Feb;PLEAMORPHISCHE BAZILLEN
76;05. Feb;Staphylokokken
77;05. Mrz;POSITIV
78;05. Mrz;NEGATIV
79;05. Apr;POSITIV
80;05. Apr;NEGATIV
81;05. Mai;NEGATIV
82;05. Mai;+
83;05. Mai;++
84;05. Mai;+++
85;05. Jun;POSITIV
86;05. Jun;NEGATIV
87;05. Jul;POSITIV
88;05. Jul;NEGATIV
89;06. Jan;POSITIV
90;06. Jan;NEGATIV
91;06. Feb;POSITIV
92;06. Feb;NEGATIV
93;06. Mrz;POSITIV
94;06. Mrz;NEGATIV
95;06. Apr;POSITIV
96;06. Apr;NEGATIV
97;06. Mai;POSITIV
98;06. Mai;NEGATIV
99;06. Jun;POSITIV
100;06. Jun;NEGATIV
101;07. Jan;POSITIV
102;07. Jan;NEGATIV
103;07. Feb;HOCH
104;07. Feb;niedrig
105;07. Feb;NORMAL
106;07. Mrz;HOCH
107;07. Mrz;niedrig
108;07. Mrz;NORMAL
109;07.03.2001;<1,2 (NORMAL)
110;07.03.2001;01.02.2005
111;07.03.2001;>5
112;07.03.2002;< 1,2 (NORMAL)
113;07.03.2002;01.02.2005
114;07.03.2002;>5
115;07.03.2003;<= 50 (NORMAL)
116;07.03.2003;> 50
117;07.03.2004;<= 50 (NORMAL)
118;07.03.2004;> 50
119;07. Apr;HOCH
120;07. Apr;niedrig
121;07. Apr;NORMAL
122;07.04.2001;< 1,4 (NORMAL)
123;07.04.2001;1,4 - 2,5
124;07.04.2001;> 2,5
125;07.04.2002;> 10
126;07.04.2002;10-55 (NORMAL)
127;07.04.2002;< 55
128;08. Jan;POSITIV
129;08. Jan;NEGATIV
130;09. Jan;SEDIMENTE
131;09. Jan;ZUCKER
132;09. Jan;UROBILINOGEN
133;09. Jan;BILIRUBIN
134;09. Jan;EIWEISS
135;09. Jan;HCG
