01. Jan;1.1 HB;HB;1;>=12 (NORMAL);1
01.01.2001;1.1 HB (Procedura 3);HB;3;;0
01. Feb;1.2 WBC Numërimi;HB;1;4000 - 7000 (NORMAL);1
01. Mrz;1.3 Diferencial;HB;1;REZULTATET NË SHËNIM;0
01. Apr;1.4 Koment Filmi;HB;1;REZULTATET NË SHËNIM;0
01. Mai;1.5 ESR;HB;1;NORMAL;1
01. Jun;1.6 Sickling Test;HB;1;NEGATIVE;1
02. Jan;2.1 Grupimi;BT;1;;2
02. Feb;2.2 Test i komninuar;BT;1;NEGATIVE;3
03. Jan;3.1 Rrëshqitja e gjakut (Malaria);PA;1;NEGATIVE;1
03. Feb;3.2 Rrëshqitja e gjakut (TË TJERA, P.SH. TRIUPHANOSOMIAS, MICRIFILARIA, LEISHMANIA, BORRELIA);PA;1;NEGATIVE;2
03.02.2001;3.21 Trypanosomiasis;PA;1;NEGATIVE;2
03.02.2002;3.22 MICROFILARIA;PA;1;NEGATIVE;1
03.02.2003;3.23 LEISHMANIA;PA;1;NEGATIVE;1
03.02.2004;3.24 BORRELIA;PA;1;NEGATIVE;1
03. Mrz;3.3 MIKROSKOPIA E JASHTËQITJES;PA;2;;2
03. Apr;3.4 MIKROSKOPIA E URINËS;PA;1;NEGATIVE;1
03. Mai;3.5 MIKROSKOPIA E INDEVE;PA;1;NEGATIVE;1
03. Jun;3.6 CSF WET PREP;PA;1;NEGATIVE;1
04. Jan;4.1 KULTURA DHE NDJESHMËRIA (C&S) PËR HEMOFILI INFUENZA TIPI B;BA;1;NEGATIVE;2
04. Feb;4.2 C&S PER SALMONELA TYPHI;BA;1;NEGATIVE;1
04. Mrz;4.3 C&S PER VIBRO CHOLERA;BA;1;NEGATIVE;1
04. Apr;4.4 C&S PER SHIGELLA DYSENTERIAE;BA;1;NEGATIVE;1
04. Mai;4.5 C&S PER NEISSERIA MENINGITIDES;BA;1;NEGATIVE;1
04. Jun;4.6 TJERA C&S ;BA;1;NEGATIVE;1
05. Jan;5.1 WET PREP;MC;1;NEGATIVE;1
05. Feb;5.2 GRAM STAIN;MC;1;NEGATIVE;1
05. Mrz;5.3 INDIA INK;MC;1;NEGATIVE;1
05. Apr;5.4 LEISMANIA;MC;1;NEGATIVE;1
05. Mai;5.5 ZN;MC;1;NEGATIVE;1
05. Jun;5.6 WAYSON;MC;1;NEGATIVE;1
05. Jul;5.7 PAP SMEAR;MC;1;NEGATIVE;1
06. Jan;6.1 VDRL/RPR;SE;1;NEGATIVE;1
06. Feb;6.2 TPHA;SE;1;NEGATIVE;1
06. Mrz;6.3 HIV/AIDS;SE;1;NEGATIVE;1
06. Apr;6.4 HEPATITIS;SE;1;NEGATIVE;1
06. Mai;6.5 TE TJERA P.SH. BRUCELA, FAKTORI RHEUMATOID, WEIL FELIX;SE;1;NEGATIVE;1
06. Jun;6.6 TEST SHTATËZËNIE;SE;1;NEGATIVE;1
07. Jan;7.1 PROTEIN;CH;1;NEGATIVE;1
07. Feb;7.2 SHEQER;CH;1;NORMAL;1
07. Mrz;7.3 LFTS;CH;1;NORMAL;1
07.03.2001;7.3.1 BILIRUBIN TOTAL;CH;1;< 1.2 (NORMAL);3
07.03.2002;7.3.2 BILIRUBIN DIRECT;CH;1;< 1.2 (NORMAL);7
07.03.2003;7.3.3 GOT;CH;1;<= 50 (NORMAL);2
07.03.2004;7.3.4 ALT/GPT;CH;1;<= 50 (NORMAL);1
07. Apr;7.4 RFTS;CH;1;NORMAL;1
07.04.2001;7.4.1 CREATININA;CH;1;< 1.4 (NORMAL);1
07.04.2002;7.4.2 UREA;CH;1;10-55 (NORMAL);1
08. Jan;8.1 OCCULT BLOOD;OC;1;NEGATIVE;1
09. Jan;9.1 URINALYSIS;OT;2;;1
